,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023
all_items,215.25424999999998,214.56466666666665,218.0761666666667,224.923,229.58608333333333,232.95174999999998,236.715,237.00175000000002,240.00541666666666,245.121,251.0995,255.65258333333335,270.96791666666667,292.6254166666667,304.70416666666665
housing,216.2636666666667,217.05691666666667,216.256,219.10158333333334,222.71525,227.35116666666667,233.21533333333332,238.06033333333335,243.9725,251.229,258.47816666666665,265.9515,280.7200833333333,300.80325,320.1716666666667
shelter,243.27583333333334,248.81183333333334,249.38308333333336,253.63391666666666,260.3605833333333,267.71575,276.15633333333335,286.027,296.81891666666667,308.144,319.28866666666664,331.12675,349.13625,370.19975,399.64349999999996
food,214.11416666666665,217.95433333333335,219.62258333333332,227.84041666666667,233.763,237.02816666666664,242.72050000000002,247.23491666666666,247.93466666666666,250.0678333333333,253.55724999999998,258.3115833333333,277.75,305.39208333333335,322.95216666666664
transport,195.31741666666667,179.3995,193.51183333333333,212.28308333333334,217.30041666666668,217.38116666666667,215.81208333333333,198.96541666666667,194.87208333333334,201.55916666666667,210.62541666666667,210.04483333333334,230.619,266.1499166666667,266.99466666666666
medical,364.0715,375.60816666666665,388.4231666666667,400.24125000000004,414.9234166666667,425.1325,435.306,446.76174999999995,463.67816666666664,475.3174166666667,484.7040833333333,498.4019166666667,525.2609166666666,546.5494166666666,549.08125
apparel,118.90266666666668,120.0555,119.49125,122.09166666666665,126.25766666666668,127.43599999999999,127.54950000000001,125.95008333333334,126.06325,125.64125,125.67525,124.08575,121.03583333333334,127.10791666666667,130.59466666666665
education,181.27075,190.8601666666667,199.34825,207.77233333333334,216.33399999999997,224.5248333333333,231.91458333333333,240.52966666666666,247.5275,253.21358333333333,258.84391666666664,265.84774999999996,274.5539166666667,282.06374999999997,290.70166666666665
utilities,202.20558333333335,193.5533333333333,192.874,194.39333333333332,189.69449999999998,194.83608333333333,203.39075,198.70258333333334,196.05100000000002,202.688,203.84158333333335,203.45791666666665,218.89883333333333,254.14325,260.58933333333334
