state,year,median_income,col_index,purchasing_power,mli
Alabama,2008,42666,83119.0,0.513312255135551,74.66
Alabama,2009,40489,82214.18,0.4924819250898904,71.63
Alabama,2010,40474,83913.88,0.48232780718826623,70.15
Alabama,2011,41415,84025.41,0.49288660728546385,71.69
Alabama,2012,41574,84558.97,0.4916568880766368,71.51
Alabama,2013,42849,84345.49,0.5080176499338263,73.89
Alabama,2014,42830,83910.53,0.5104246117113697,74.24
Alabama,2015,44765,83406.88,0.536706346344589,78.06
Alabama,2016,46257,84232.03,0.5491616255391638,79.87
Alabama,2017,48123,83790.36,0.574326214700153,83.53
Alabama,2018,49861,81398.01,0.6125579374849298,89.09
Alabama,2019,51734,82553.27,0.6266741303401346,91.15
Alabama,2021,53913,82215.5,0.6557522895403938,95.37
Alabama,2022,59674,81814.94,0.7293777848917188,106.08
Alabama,2023,62212,83668.14,0.7435566416283501,108.15
Alaska,2008,68460,101931.28,0.6716289371262811,97.68
Alaska,2009,66953,106199.69,0.6304443801144828,91.69
Alaska,2010,64576,102760.3,0.6284138919684099,91.4
Alaska,2011,67825,101859.22,0.6658699821536537,96.85
Alaska,2012,67712,102647.75,0.6596540199226543,95.94
Alaska,2013,72237,101697.14,0.7103149760425215,103.31
Alaska,2014,71583,102363.4,0.6993026797670822,101.71
Alaska,2015,73355,103100.0,0.7114937216651419,103.48
Alaska,2016,76440,102567.69,0.7452639463363316,108.39
Alaska,2017,73181,103197.96,0.70913224371753,103.14
Alaska,2018,74346,101134.64,0.7351190801546492,106.92
Alaska,2019,75463,99067.81,0.7617307558426981,110.79
Alaska,2021,77845,102038.53,0.7628980598501245,110.96
Alaska,2022,88121,98466.93,0.8949299091171414,130.16
Alaska,2023,86631,97432.03,0.8891429235334622,129.32
Arizona,2008,50958,99964.73,0.5097597973781333,74.14
Arizona,2009,48745,99973.33,0.4875800502764901,70.92
Arizona,2010,46789,97035.75,0.4821830880792343,70.13
Arizona,2011,46709,95539.06,0.4888995165375267,71.11
Arizona,2012,47826,94897.16,0.5039771294154405,73.3
Arizona,2013,48510,94855.98,0.5114068814694908,74.38
Arizona,2014,50068,94317.79,0.5308436313239241,77.21
Arizona,2015,51492,94521.53,0.544764758618049,79.23
Arizona,2016,53558,94767.98,0.5651486968024864,82.2
Arizona,2017,56581,94365.11,0.5995966386108652,87.21
Arizona,2018,59246,93994.37,0.6303143334684822,91.67
Arizona,2019,62055,94314.02,0.657961593568284,95.7
Arizona,2021,69056,95272.81,0.7248238178819532,105.42
Arizona,2022,74568,98567.16,0.7565196802738918,110.03
Arizona,2023,77315,99766.77,0.77495740215074,112.71
Arkansas,2008,38815,82565.5,0.4701115844454566,68.37
Arkansas,2009,37823,81081.55,0.46648098265948734,67.85
Arkansas,2010,38307,83179.42,0.46053460446702915,66.98
Arkansas,2011,38758,83826.73,0.46235847754321846,67.25
Arkansas,2012,40112,83494.2,0.48041658077248095,69.87
Arkansas,2013,40511,83575.61,0.484722732638255,70.5
Arkansas,2014,41262,83501.46,0.49414704844681756,71.87
Arkansas,2015,41995,82885.92,0.5066602685068262,73.69
Arkansas,2016,44334,83182.14,0.5329749609087078,77.52
Arkansas,2017,45869,82173.94,0.5581940022171895,81.19
Arkansas,2018,47062,81147.41,0.5799568735728435,84.35
Arkansas,2019,48952,81684.94,0.5992781694938132,87.16
Arkansas,2021,52528,82741.88,0.6348417865326751,92.33
Arkansas,2022,55432,80390.09,0.6895377381396798,100.29
Arkansas,2023,58700,80167.92,0.732213052767919,106.5
California,2008,61021,118813.36,0.5135870224911171,74.7
California,2009,58931,117642.0,0.5009350257290841,72.86
California,2010,57708,116299.66,0.4962009547761747,72.17
California,2011,57287,116198.41,0.49301020022931946,71.7
California,2012,58328,116189.08,0.5020092894267995,73.01
California,2013,60190,116054.57,0.5186353174655272,75.43
California,2014,61933,116769.1,0.5303886017941976,77.14
California,2015,64500,117460.6,0.5491203194644101,79.87
California,2016,67739,117413.65,0.5769261261362022,83.91
California,2017,71805,118601.27,0.605431967994238,88.06
California,2018,75277,119733.41,0.6287050755314728,91.44
California,2019,80440,119580.19,0.6726866879103587,97.84
California,2021,84907,120202.13,0.7063685279507743,102.74
California,2022,91551,119382.58,0.7668706748777897,111.54
California,2023,95521,118711.52,0.804648125911328,117.03
Colorado,2008,56993,103191.67,0.5523023112817245,80.33
Colorado,2009,55430,102087.22,0.5429670760790578,78.97
Colorado,2010,54046,100609.81,0.5371841917086991,78.13
Colorado,2011,55387,103601.97,0.534613386728663,77.76
Colorado,2012,56765,102906.82,0.551615526250162,80.23
Colorado,2013,58823,103402.26,0.5688753749785026,82.74
Colorado,2014,61303,103641.9,0.5914885963294032,86.03
Colorado,2015,63909,104398.64,0.6121631569211761,89.03
Colorado,2016,65685,104677.89,0.62749640766785,91.27
Colorado,2017,69117,105491.04,0.6551931122996834,95.29
Colorado,2018,71953,103599.63,0.694529493411203,101.01
Colorado,2019,77127,105904.09,0.7282721275567078,105.92
Colorado,2021,82254,105761.01,0.7777346081206693,113.12
Colorado,2022,89302,105374.04,0.8474762524559879,123.26
Colorado,2023,92911,104724.89,0.887191187001345,129.04
Connecticut,2008,68595,111305.97,0.6162741942795741,89.63
Connecticut,2009,67034,112510.92,0.5957999263993243,86.66
Connecticut,2010,64032,107832.43,0.5938102448648211,86.37
Connecticut,2011,65753,108778.7,0.6044657750913696,87.92
Connecticut,2012,67276,109052.51,0.6169137925605273,89.73
Connecticut,2013,67098,108629.17,0.6176793784646407,89.84
Connecticut,2014,70048,107737.51,0.6501728225875949,94.56
Connecticut,2015,71346,109196.46,0.6533728482662634,95.03
Connecticut,2016,73433,107938.57,0.6803221417106158,98.95
Connecticut,2017,74168,106502.03,0.6963998609769243,101.29
Connecticut,2018,76348,104513.06,0.7305115911181608,106.25
Connecticut,2019,78833,103045.98,0.7650274430996077,111.27
Connecticut,2021,83771,102844.71,0.8145387454434979,118.47
Connecticut,2022,88429,104975.39,0.8423783930400388,122.52
Connecticut,2023,91665,102338.72,0.8957020688213362,130.27
Delaware,2008,57989,96772.77,0.5992285011324074,87.15
Delaware,2009,56860,99494.14,0.57149097166081,83.12
Delaware,2010,55847,98057.8,0.5695314280040664,82.83
Delaware,2011,58814,97211.82,0.6050087511480213,87.99
Delaware,2012,58415,96296.1,0.6066185228425348,88.23
Delaware,2013,57846,95667.62,0.6046559808772419,87.94
Delaware,2014,59716,97348.42,0.6134254562855435,89.22
Delaware,2015,61255,94599.24,0.6475210322981461,94.18
Delaware,2016,61757,94995.73,0.6501028813574063,94.55
Delaware,2017,62852,94842.75,0.6626969657753267,96.38
Delaware,2018,64805,96309.83,0.6728804492978663,97.87
Delaware,2019,70176,95226.71,0.7369360730355818,107.18
Delaware,2021,71091,94558.73,0.7518184690518872,109.35
Delaware,2022,82174,95296.96,0.8622940640687784,125.41
Delaware,2023,81361,96339.28,0.8445257263938745,122.83
Florida,2008,47778,101164.81,0.4722788571451074,68.69
Florida,2009,44736,99299.95,0.45051383108478565,65.52
Florida,2010,44409,98900.99,0.4490248145931405,65.31
Florida,2011,44299,99190.01,0.44660748760061086,64.96
Florida,2012,45040,99568.71,0.4523509289415002,65.79
Florida,2013,46036,99143.49,0.4643371151847764,67.53
Florida,2014,47463,99346.33,0.47775294968282744,69.49
Florida,2015,49426,99776.79,0.4953657182037456,72.05
Florida,2016,50860,99712.62,0.5100658021088762,74.19
Florida,2017,52594,99962.37,0.526137966249595,76.52
Florida,2018,55462,99533.41,0.5572199347223006,81.04
