,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023
all_items,0.7079378022996972,0.705419117671236,0.7169899417019864,0.7396219342577278,0.7549280399306868,0.7659859203556408,0.7784116503960516,0.7793356065064924,0.7891670256175873,0.8059790811075636,0.8256649360300138,0.8406257911990714,0.8909764670680341,0.9622789163737516,1.0
housing,0.6534743202416918,0.6574018126888217,0.6534743202416918,0.6586102719033232,0.6685800604229608,0.6836858006042297,0.7021148036253777,0.7217522658610273,0.7425981873111783,0.7619335347432024,0.7861027190332326,0.8105740181268882,0.8670694864048338,0.9389728096676737,1.0
food,0.6628482972136223,0.6749226006191951,0.679876160990712,0.704953560371517,0.7213622291021672,0.7312693498452012,0.7430340557275542,0.751702786377709,0.7523219814241486,0.7613003095975233,0.7755417956656346,0.791640866873065,0.8603715170278637,0.9492260061919505,1.0
transportation,0.6764705882352942,0.6204152249134949,0.6650519031141868,0.7356401384083044,0.7581314878892733,0.7671280276816609,0.770242214532872,0.6702422145328719,0.6657439446366782,0.6882352941176471,0.7352941176470589,0.7453287197231834,0.83840830449827,0.975432525951557,1.0
medical,0.6139966273187184,0.633389544688027,0.6549747048903878,0.6750421585160202,0.699662731871838,0.7168634064080944,0.7340640809443508,0.7534569983136594,0.7795952782462058,0.8026981450252951,0.8231028667790894,0.8524451939291737,0.9134907251264757,0.9627318718381113,1.0
apparel,0.9083969465648855,0.9129770992366412,0.9122137404580153,0.9419847328244275,0.9633587786259542,0.9732824427480916,0.9717557251908396,0.9633587786259542,0.9610687022900763,0.9587786259541984,0.9618320610687023,0.9603053435114504,0.950381679389313,0.9832061068702291,1.0
recreation,0.827007299270073,0.827007299270073,0.827007299270073,0.8343065693430657,0.8423357664233577,0.8583941605839416,0.8656934306569343,0.8583941605839416,0.8598540145985402,0.8620437956204379,0.8722627737226277,0.8846715328467154,0.9153284671532848,0.9656934306569344,1.0
education,0.7204819277108433,0.744578313253012,0.7632530120481927,0.7801204819277109,0.7951807228915663,0.8066265060240965,0.8162650602409639,0.8198795180722891,0.8301204819277109,0.8397590361445784,0.8518072289156627,0.8680722891566265,0.9186746987951807,0.9650602409638553,1.0
other_goods,0.6175806451612903,0.6435483870967742,0.660483870967742,0.6798387096774193,0.6974193548387096,0.7070967741935483,0.72,0.7322580645161291,0.7493548387096775,0.7669354838709678,0.7906451612903226,0.8104838709677419,0.8716129032258064,0.9554838709677419,1.0
utilities,0.7508250825082509,0.6798679867986799,0.7184818481848184,0.7841584158415842,0.7772277227722773,0.7966996699669967,0.8095709570957096,0.7112211221122112,0.6874587458745876,0.7178217821782178,0.763036303630363,0.7716171617161717,0.8455445544554455,0.9854785478547855,1.0
