state,year,category,cost
Alabama,2017,reading,107.50053981123769
Alabama,2017,tobacco,268.7513495280942
Alabama,2017,transportation,8827.069362722914
Alabama,2018,alcohol,406.79495985360063
Alabama,2018,apparel,1558.1600720725585
Alabama,2018,cash_contributions,2030.0
Alabama,2018,education,1255.5006613446776
Alabama,2018,entertainment,2608.4983412435563
Alabama,2018,food,6610.418097621011
Alabama,2018,healthcare,4741.734811936606
Alabama,2018,housing,11332.21
Alabama,2018,miscellaneous,829.9767449411315
Alabama,2018,personal_care,663.9813959529052
Alabama,2018,personal_insurance,6639.813959529052
Alabama,2018,reading,106.74442364774578
Alabama,2018,tobacco,266.8610591193644
Alabama,2018,transportation,8941.16245661196
Alabama,2019,alcohol,423.73021473727016
Alabama,2019,apparel,1573.0055129277237
Alabama,2019,cash_contributions,2030.0
Alabama,2019,education,1301.8802439021963
Alabama,2019,entertainment,2681.3528418517963
Alabama,2019,food,6885.61598948064
Alabama,2019,healthcare,4922.654455387067
Alabama,2019,housing,11804.4
Alabama,2019,miscellaneous,853.1577224073897
Alabama,2019,personal_care,682.5261779259117
Alabama,2019,personal_insurance,6825.261779259117
Alabama,2019,reading,111.12085016980951
Alabama,2019,tobacco,277.8021254245238
Alabama,2019,transportation,9116.774922752827
Alabama,2021,alcohol,452.41391599271935
Alabama,2021,apparel,1523.5567483613424
Alabama,2021,cash_contributions,2030.0
Alabama,2021,education,1334.8244725349873
Alabama,2021,entertainment,2821.5004438116207
Alabama,2021,food,7351.726134881689
Alabama,2021,healthcare,5150.545218295713
Alabama,2021,housing,12565.09
Alabama,2021,miscellaneous,897.7501412127883
Alabama,2021,personal_care,718.2001129702307
Alabama,2021,personal_insurance,7182.001129702307
Alabama,2021,reading,116.94982545802624
Alabama,2021,tobacco,292.3745636450656
Alabama,2021,transportation,9939.411019595898
Alabama,2022,alcohol,501.2515713854426
Alabama,2022,apparel,1612.2536024952533
Alabama,2022,cash_contributions,2030.0
Alabama,2022,education,1385.02840778275
Alabama,2022,entertainment,3077.4370960426104
Alabama,2022,food,8145.338035013441
Alabama,2022,healthcare,5412.80574032228
Alabama,2022,housing,12781.76
Alabama,2022,miscellaneous,979.1845305590124
Alabama,2022,personal_care,783.3476244472098
Alabama,2022,personal_insurance,7833.476244472098
Alabama,2022,reading,127.26525022685942
Alabama,2022,tobacco,318.16312556714854
Alabama,2022,transportation,11558.67319841595
Alabama,2023,alcohol,532.3584
Alabama,2023,apparel,1663.62
Alabama,2023,cash_contributions,2030.0
Alabama,2023,education,1450.6989
Alabama,2023,entertainment,3256.6710000000003
Alabama,2023,food,8650.823999999999
Alabama,2023,healthcare,5526.472
Alabama,2023,housing,14563.61
Alabama,2023,miscellaneous,1036.2135
Alabama,2023,personal_care,828.9708
Alabama,2023,personal_insurance,8289.708
Alabama,2023,reading,133.0896
Alabama,2023,tobacco,332.724
Alabama,2023,transportation,11645.339999999998
Alaska,2008,alcohol,393.27260966923376
Alaska,2008,apparel,1687.7288525054628
Alaska,2008,cash_contributions,2030.0
Alaska,2008,education,943.5773115398088
Alaska,2008,entertainment,2399.7567770206074
Alaska,2008,food,6390.679907125049
Alaska,2008,healthcare,3822.240777218308
Alaska,2008,housing,16530.24
Alaska,2008,miscellaneous,763.558974506557
Alaska,2008,personal_care,610.8471796052456
Alaska,2008,personal_insurance,6108.471796052456
Alaska,2008,reading,104.76105185220638
Alaska,2008,tobacco,261.90262963051595
Alaska,2008,transportation,9492.332593351584
Alaska,2009,alcohol,399.5512437765551
Alaska,2009,apparel,1700.794421543504
Alaska,2009,cash_contributions,2030.0
Alaska,2009,education,999.4773574198636
Alaska,2009,entertainment,2406.4763683004003
Alaska,2009,food,6492.707711369021
Alaska,2009,healthcare,3967.110411041475
Alaska,2009,housing,18699.49
Alaska,2009,miscellaneous,765.6970262774003
Alaska,2009,personal_care,612.5576210219201
Alaska,2009,personal_insurance,6125.576210219202
Alaska,2009,reading,104.22334401072077
Alaska,2009,tobacco,260.55836002680195
Alaska,2009,transportation,8701.85585973003
Alaska,2010,alcohol,396.4362667542613
Alaska,2010,apparel,1666.845202386711
Alaska,2010,cash_contributions,2030.0
Alaska,2010,education,1008.2721577930984
Alaska,2010,entertainment,2362.323039987967
Alaska,2010,food,6442.089334756746
Alaska,2010,healthcare,3962.343042445298
Alaska,2010,housing,17602.89
Alaska,2010,miscellaneous,751.6482399961715
Alaska,2010,personal_care,601.3185919969371
Alaska,2010,personal_insurance,6013.185919969372
Alaska,2010,reading,104.30482645199582
Alaska,2010,tobacco,260.76206612998953
Alaska,2010,transportation,9242.4601668401
Alaska,2011,alcohol,409.176208355933
Alaska,2011,apparel,1694.44865235053
Alaska,2011,cash_contributions,2030.0
Alaska,2011,education,1063.8448540421164
Alaska,2011,entertainment,2466.551464411656
Alaska,2011,food,6649.113385783911
Alaska,2011,healthcare,4133.272386481964
Alaska,2011,housing,17287.39
Alaska,2011,miscellaneous,784.8118295855269
Alaska,2011,personal_care,627.8494636684215
Alaska,2011,personal_insurance,6278.494636684215
Alaska,2011,reading,107.03191432717529
Alaska,2011,tobacco,267.5797858179382
Alaska,2011,transportation,10087.386760188872
Alaska,2012,alcohol,411.8069354229444
Alaska,2012,apparel,1718.851772494538
Alaska,2012,cash_contributions,2030.0
Alaska,2012,education,1089.1840967670178
Alaska,2012,entertainment,2475.641784048736
Alaska,2012,food,6691.862700622847
Alaska,2012,healthcare,4213.335638219906
Alaska,2012,housing,18622.25
Alaska,2012,miscellaneous,787.7042040155068
Alaska,2012,personal_care,630.1633632124054
Alaska,2012,personal_insurance,6301.633632124054
Alaska,2012,reading,107.16754000268016
Alaska,2012,tobacco,267.91885000670044
Alaska,2012,transportation,10128.896220250654
Alaska,2013,alcohol,411.82132802288055
Alaska,2013,apparel,1711.05429833786
Alaska,2013,cash_contributions,2030.0
Alaska,2013,education,1130.4681764699778
Alaska,2013,entertainment,2512.0349046526007
Alaska,2013,food,6692.096580371808
Alaska,2013,healthcare,4317.177106266149
Alaska,2013,housing,18737.54
Alaska,2013,miscellaneous,799.2838332985548
Alaska,2013,personal_care,639.4270666388438
Alaska,2013,personal_insurance,6394.270666388438
Alaska,2013,reading,107.24441212137457
Alaska,2013,tobacco,268.1110303034364
Alaska,2013,transportation,9993.427603538272
Alaska,2014,alcohol,420.8149240202239
Alaska,2014,apparel,1708.9376538315762
Alaska,2014,cash_contributions,2030.0
Alaska,2014,education,1174.5941995136768
Alaska,2014,entertainment,2567.7415316112624
Alaska,2014,food,6838.242515328638
Alaska,2014,healthcare,4446.68173357586
Alaska,2014,housing,19463.2
Alaska,2014,miscellaneous,817.0086691490379
Alaska,2014,personal_care,653.6069353192305
Alaska,2014,personal_insurance,6536.069353192303
Alaska,2014,reading,108.74524410835647
Alaska,2014,tobacco,271.8631102708912
Alaska,2014,transportation,9900.20324799325
Alaska,2015,alcohol,448.229341720265
Alaska,2015,apparel,1764.622121306001
Alaska,2015,cash_contributions,2030.0
Alaska,2015,education,1213.8489642665731
Alaska,2015,entertainment,2561.6116475562367
Alaska,2015,food,7283.726802954307
Alaska,2015,healthcare,4547.299784398029
Alaska,2015,housing,19603.63
Alaska,2015,miscellaneous,815.0582514951661
Alaska,2015,personal_care,652.0466011961329
Alaska,2015,personal_insurance,6520.466011961329
Alaska,2015,reading,113.85231037963052
Alaska,2015,tobacco,284.6307759490763
Alaska,2015,transportation,9544.468539953668
Alaska,2016,alcohol,462.08170895731206
Alaska,2016,apparel,1815.652806382153
Alaska,2016,cash_contributions,2030.0
Alaska,2016,education,1260.2288457906448
Alaska,2016,entertainment,2617.0543245593403
Alaska,2016,food,7508.82777055632
Alaska,2016,healthcare,4761.285321347251
Alaska,2016,housing,19192.59
Alaska,2016,miscellaneous,832.699103268881
Alaska,2016,personal_care,666.1592826151049
Alaska,2016,personal_insurance,6661.592826151048
Alaska,2016,reading,118.52293146932134
Alaska,2016,tobacco,296.3073286733033
Alaska,2016,transportation,9609.810617772171
Alaska,2017,alcohol,467.193422269242
Alaska,2017,apparel,1813.985953827556
Alaska,2017,cash_contributions,2030.0
Alaska,2017,education,1303.3526118469106
