GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "24000","Maryland",2,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",287439.7,282935.8,293197.2,299337.8,306124.0,297914.9,304757.3,317545.8,327193.2,334366.7,339610.8,350412.4,360821.3,369622.4,361298.9,372195.1
 "25000","Massachusetts",1,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",352308.8,353100.9,365865.6,374037.9,381927.0,383734.2,391031.1,414493.3,413376.8,429672.4,443038.1,458714.6,475960.8,504818.8,474183.4,486679.8
 "26000","Michigan",3,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",417247.4,397562.6,404923.1,422694.3,431789.3,429051.8,439730.3,471528.9,480853.1,491845.4,492973.4,496935.1,539609.5,557378.0,536034.9,541161.2
 "27000","Minnesota",4,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",261617.2,246937.4,256175.2,268028.4,277805.6,276131.6,283263.4,298148.3,302798.9,312566.2,313158.8,322754.5,343334.4,360718.4,353329.5,351314.1
 "28000","Mississippi",5,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",115507.7,117636.2,116273.3,117393.6,119340.0,119397.5,119933.9,122245.9,122578.6,124576.5,127543.1,130006.9,140616.1,147417.7,136757.5,138867.1
 "29000","Missouri",4,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",279010.9,269359.7,263458.0,269246.0,276067.8,273056.0,276898.7,289282.9,296927.9,299195.0,306040.8,311214.7,333704.8,349285.8,345170.4,351069.4
 "30000","Montana",7,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",41419.1,40981.4,42683.6,43600.1,45954.1,45904.9,46473.6,48308.3,49190.0,51054.6,53527.0,54841.4,60590.4,65647.7,66102.5,67750.3
 "31000","Nebraska",4,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",90654.1,88747.4,90296.9,99235.9,98938.0,97877.0,102249.2,106813.0,104983.0,106918.7,106946.6,109418.5,115035.6,124791.9,126611.5,129707.2
 "32000","Nevada",8,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",113703.5,105980.5,110621.2,110422.8,113327.3,114066.7,120100.1,130620.6,136283.6,139414.1,151489.9,156075.9,167975.3,184388.8,177649.3,181182.9
 "33000","New Hampshire",1,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",63530.8,63540.9,65788.4,67643.1,69271.5,68230.1,70279.9,72073.6,72954.0,74547.9,78110.1,81627.3,84761.2,91653.9,83713.5,87257.7
 "34000","New Jersey",2,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",469080.7,442074.8,456219.3,463368.0,469116.2,468261.5,481089.2,500906.3,509586.1,519160.2,523261.2,544239.2,565276.5,593641.8,570674.1,581816.4
 "35000","New Mexico",6,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",79607.8,78630.2,81361.8,81154.2,81911.4,79945.2,83438.8,85378.8,87207.5,86238.4,92359.5,94945.6,102793.1,109838.2,106382.8,107517.6
 "36000","New York",2,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",926923.5,917581.6,947703.2,967685.2,1003696.1,1001472.7,1031400.4,1067425.9,1089331.4,1144857.9,1163672.3,1188761.1,1231631.4,1266377.9,1221957.2,1243245.6
 "37000","North Carolina",5,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",427092.2,419035.5,408988.1,409607.3,428209.4,416375.5,432979.7,456418.1,466543.3,484514.6,499977.6,528474.0,567620.0,590790.3,578335.9,591116.5
 "38000","North Dakota",4,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",35184.8,34240.0,36919.8,40431.0,45488.8,44757.3,46974.6,45624.4,43619.6,44908.7,45825.1,45690.7,49117.5,51898.2,53919.1,52953.2
 "39000","Ohio",3,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",511871.9,494090.1,501427.8,526365.4,530730.5,530301.7,545561.0,570520.6,575566.1,590137.4,594381.6,604184.8,649860.6,672734.7,646886.2,655601.6
 "40000","Oklahoma",6,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",180162.8,169675.1,170857.7,178480.4,185729.8,191780.8,199539.5,194705.2,183585.8,189624.2,198041.5,205867.1,212054.7,222512.3,226514.9,230879.7
 "41000","Oregon",8,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",159186.3,150977.7,153692.1,157192.8,159863.3,161641.9,170717.9,180643.1,190532.8,194828.9,196985.6,205137.8,222917.2,236590.9,219807.2,227750.0
